# Package	Version
gcc-14-base	14.2.0-4ubuntu2~24.04.1
libc6	2.39-0ubuntu8.8
libcublas12	12.0.2.224~12.0.1-4build4
libcublaslt12	12.0.2.224~12.0.1-4build4
libcudart12	12.0.146~12.0.1-4build4
libgcc-s1	14.2.0-4ubuntu2~24.04.1
libgomp1	14.2.0-4ubuntu2~24.04.1
libnvidia-compute-595	595.84-0ubuntu0.24.04.1
libpciaccess0	0.17-3ubuntu0.24.04.2
libssl3t64	3.0.13-0ubuntu3.15
libstdc++6	14.2.0-4ubuntu2~24.04.1
nvidia-firmware-595-595.84	595.84-0ubuntu0.24.04.1
nvidia-kernel-common-595	595.84-0ubuntu0.24.04.1
ocl-icd-libopencl1	2.3.2-1build1
zlib1g	1:1.3.dfsg-3.1ubuntu2.2
