package	version	filename	url	sha256	requested
aider-chat	0.86.2	aider_chat-0.86.2-py3-none-any.whl	https://files.pythonhosted.org/packages/75/f7/e20749d9a510673e7adf910b005e3efe4ceaf9c194f1dd40d6931a3f34b9/aider_chat-0.86.2-py3-none-any.whl	64f6a0c66c9f4633ad9f479bca3e64ebcba02b9da03c6b604b74a44736b2416e	true
aiohappyeyeballs	2.6.1	aiohappyeyeballs-2.6.1-py3-none-any.whl	https://files.pythonhosted.org/packages/0f/15/5bf3b99495fb160b63f95972b81750f18f7f4e02ad051373b669d17d44f2/aiohappyeyeballs-2.6.1-py3-none-any.whl	f349ba8f4b75cb25c99c5c2d84e997e485204d2902a9597802b0371f09331fb8	false
aiohttp	3.13.3	aiohttp-3.13.3-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	https://files.pythonhosted.org/packages/86/f6/a62cbbf13f0ac80a70f71b1672feba90fdb21fd7abd8dbf25c0105fb6fa3/aiohttp-3.13.3-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	9ae8dd55c8e6c4257eae3a20fd2c8f41edaea5992ed67156642493b8daf3cecc	false
aiosignal	1.4.0	aiosignal-1.4.0-py3-none-any.whl	https://files.pythonhosted.org/packages/fb/76/641ae371508676492379f16e2fa48f4e2c11741bd63c48be4b12a6b09cba/aiosignal-1.4.0-py3-none-any.whl	053243f8b92b990551949e63930a839ff0cf0b0ebbe0597b0f3fb19e1a0fe82e	false
annotated-doc	0.0.4	annotated_doc-0.0.4-py3-none-any.whl	https://files.pythonhosted.org/packages/1e/d3/26bf1008eb3d2daa8ef4cacc7f3bfdc11818d111f7e2d0201bc6e3b49d45/annotated_doc-0.0.4-py3-none-any.whl	571ac1dc6991c450b25a9c2d84a3705e2ae7a53467b5d111c24fa8baabbed320	false
annotated-types	0.7.0	annotated_types-0.7.0-py3-none-any.whl	https://files.pythonhosted.org/packages/78/b6/6307fbef88d9b5ee7421e68d78a9f162e0da4900bc5f5793f6d3d0e34fb8/annotated_types-0.7.0-py3-none-any.whl	1f02e8b43a8fbbc3f3e0d4f0f4bfc8131bcb4eebe8849b8e5c773f3a1c582a53	false
anyio	4.12.1	anyio-4.12.1-py3-none-any.whl	https://files.pythonhosted.org/packages/38/0e/27be9fdef66e72d64c0cdc3cc2823101b80585f8119b5c112c2e8f5f7dab/anyio-4.12.1-py3-none-any.whl	d405828884fc140aa80a3c667b8beed277f1dfedec42ba031bd6ac3db606ab6c	false
asgiref	3.11.1	asgiref-3.11.1-py3-none-any.whl	https://files.pythonhosted.org/packages/5c/0a/a72d10ed65068e115044937873362e6e32fab1b7dce0046aeb224682c989/asgiref-3.11.1-py3-none-any.whl	e8667a091e69529631969fd45dc268fa79b99c92c5fcdda727757e52146ec133	false
attrs	25.4.0	attrs-25.4.0-py3-none-any.whl	https://files.pythonhosted.org/packages/3a/2a/7cc015f5b9f5db42b7d48157e23356022889fc354a2813c15934b7cb5c0e/attrs-25.4.0-py3-none-any.whl	adcf7e2a1fb3b36ac48d97835bb6d8ade15b8dcce26aba8bf1d14847b57a3373	false
backoff	2.2.1	backoff-2.2.1-py3-none-any.whl	https://files.pythonhosted.org/packages/df/73/b6e24bd22e6720ca8ee9a85a0c4a2971af8497d8f3193fa05390cbd46e09/backoff-2.2.1-py3-none-any.whl	63579f9a0628e06278f7e47b7d7d5b6ce20dc65c5e96a6f3ca99a6adca0396e8	false
beautifulsoup4	4.14.3	beautifulsoup4-4.14.3-py3-none-any.whl	https://files.pythonhosted.org/packages/1a/39/47f9197bdd44df24d67ac8893641e16f386c984a0619ef2ee4c51fbbc019/beautifulsoup4-4.14.3-py3-none-any.whl	0918bfe44902e6ad8d57732ba310582e98da931428d231a5ecb9e7c703a735bb	false
certifi	2026.1.4	certifi-2026.1.4-py3-none-any.whl	https://files.pythonhosted.org/packages/e6/ad/3cc14f097111b4de0040c83a525973216457bbeeb63739ef1ed275c1c021/certifi-2026.1.4-py3-none-any.whl	9943707519e4add1115f44c2bc244f782c0249876bf51b6599fee1ffbedd685c	false
cffi	2.0.0	cffi-2.0.0-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.whl	https://files.pythonhosted.org/packages/78/2d/7fa73dfa841b5ac06c7b8855cfc18622132e365f5b81d02230333ff26e9e/cffi-2.0.0-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.whl	3e17ed538242334bf70832644a32a7aae3d83b57567f9fd60a26257e992b79ba	false
