package	version	type	filename	url	sha256	size	provenance
agent-client-protocol	0.9.0	wheel	agent_client_protocol-0.9.0-py3-none-any.whl	https://files.pythonhosted.org/packages/8f/ed/c284543c08aa443a4ef2c8bd120be51da8433dd174c01749b5d87c333f22/agent_client_protocol-0.9.0-py3-none-any.whl	06911500b51d8cb69112544e2be01fc5e7db39ef88fecbc3848c5c6f194798ee	56850	uv.lock
aiohappyeyeballs	2.6.1	wheel	aiohappyeyeballs-2.6.1-py3-none-any.whl	https://files.pythonhosted.org/packages/0f/15/5bf3b99495fb160b63f95972b81750f18f7f4e02ad051373b669d17d44f2/aiohappyeyeballs-2.6.1-py3-none-any.whl	f349ba8f4b75cb25c99c5c2d84e997e485204d2902a9597802b0371f09331fb8	15265	uv.lock
aiohttp	3.14.3	wheel	aiohttp-3.14.3-cp311-cp311-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	https://files.pythonhosted.org/packages/a5/b9/2b8f0c0ce09c87a1daf80fd483431b56b1435d3f62789bc86f572e1245de/aiohttp-3.14.3-cp311-cp311-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	53e7b4ce82b54a8bcc71b3b67a5cbd177ca1d7f592cbc92cd38b7349f73482db	1786220	uv.lock
aiosignal	1.4.0	wheel	aiosignal-1.4.0-py3-none-any.whl	https://files.pythonhosted.org/packages/fb/76/641ae371508676492379f16e2fa48f4e2c11741bd63c48be4b12a6b09cba/aiosignal-1.4.0-py3-none-any.whl	053243f8b92b990551949e63930a839ff0cf0b0ebbe0597b0f3fb19e1a0fe82e	7490	uv.lock
annotated-doc	0.0.4	wheel	annotated_doc-0.0.4-py3-none-any.whl	https://files.pythonhosted.org/packages/1e/d3/26bf1008eb3d2daa8ef4cacc7f3bfdc11818d111f7e2d0201bc6e3b49d45/annotated_doc-0.0.4-py3-none-any.whl	571ac1dc6991c450b25a9c2d84a3705e2ae7a53467b5d111c24fa8baabbed320	5303	uv.lock
annotated-types	0.7.0	wheel	annotated_types-0.7.0-py3-none-any.whl	https://files.pythonhosted.org/packages/78/b6/6307fbef88d9b5ee7421e68d78a9f162e0da4900bc5f5793f6d3d0e34fb8/annotated_types-0.7.0-py3-none-any.whl	1f02e8b43a8fbbc3f3e0d4f0f4bfc8131bcb4eebe8849b8e5c773f3a1c582a53	13643	uv.lock
anyio	4.12.1	wheel	anyio-4.12.1-py3-none-any.whl	https://files.pythonhosted.org/packages/38/0e/27be9fdef66e72d64c0cdc3cc2823101b80585f8119b5c112c2e8f5f7dab/anyio-4.12.1-py3-none-any.whl	d405828884fc140aa80a3c667b8beed277f1dfedec42ba031bd6ac3db606ab6c	113592	uv.lock
attrs	25.4.0	wheel	attrs-25.4.0-py3-none-any.whl	https://files.pythonhosted.org/packages/3a/2a/7cc015f5b9f5db42b7d48157e23356022889fc354a2813c15934b7cb5c0e/attrs-25.4.0-py3-none-any.whl	adcf7e2a1fb3b36ac48d97835bb6d8ade15b8dcce26aba8bf1d14847b57a3373	67615	uv.lock
boto3	1.42.89	wheel	boto3-1.42.89-py3-none-any.whl	https://files.pythonhosted.org/packages/b9/33/55103ba5ef9975ea54b8d39e69b76eb6e9fded3beae5f01065e26951a3a1/boto3-1.42.89-py3-none-any.whl	6204b189f4d0c655535f43d7eaa57ff4e8d965b8463c97e45952291211162932	140556	uv.lock
botocore	1.42.97	wheel	botocore-1.42.97-py3-none-any.whl	https://files.pythonhosted.org/packages/e3/d2/8e025ba1a4e257879af72d06913272311af79673d82fa2581a351b924317/botocore-1.42.97-py3-none-any.whl	77d2c8ce1bc592d3fbd7c01c35836f4a5b0cac2ca03ccdf6ffc60faa16b5fadc	14950367	pypi-json
